model,strategy,article_id,error_type,category,entity,detail
gemma3,few_shot,art_002,false_positive_entity,companies,boston dynamics ai institute,
gemma3,few_shot,art_002,false_positive_entity,companies,chinese university of hong kong,
gemma3,few_shot,art_002,false_positive_entity,companies,college of william and mary,
gemma3,few_shot,art_002,false_positive_entity,companies,columbia university,
gemma3,few_shot,art_002,false_positive_entity,companies,cornell university,
gemma3,few_shot,art_002,false_positive_entity,companies,eth zurich,
gemma3,few_shot,art_002,false_positive_entity,companies,facebook ai,
gemma3,few_shot,art_002,false_positive_entity,companies,google brain,
gemma3,few_shot,art_002,false_positive_entity,companies,harvard university,
gemma3,few_shot,art_002,false_positive_entity,companies,hebrew university of jerusalem,
gemma3,few_shot,art_002,false_positive_entity,companies,mila,
gemma3,few_shot,art_002,false_positive_entity,companies,mit,
gemma3,few_shot,art_002,false_positive_entity,companies,new york university,
gemma3,few_shot,art_002,false_positive_entity,companies,northwestern university,
gemma3,few_shot,art_002,false_positive_entity,companies,reality labs research,
gemma3,few_shot,art_002,false_positive_entity,companies,seoul national university,
gemma3,few_shot,art_002,false_positive_entity,companies,southern methodist university,
gemma3,few_shot,art_002,false_positive_entity,companies,stanford university,
gemma3,few_shot,art_002,false_positive_entity,companies,tsinghua university,
gemma3,few_shot,art_002,false_positive_entity,companies,uc berkeley,
gemma3,few_shot,art_002,false_positive_entity,companies,university of washington,
gemma3,few_shot,art_002,false_positive_entity,companies,university of wisconsin-madison,
gemma3,few_shot,art_002,false_positive_entity,companies,weizmann institute of science,
gemma3,few_shot,art_002,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_002,false_positive_entity,technologies,deep learning,
gemma3,few_shot,art_002,false_positive_entity,technologies,machine learning,
gemma3,few_shot,art_002,missed_entity,companies,google,
gemma3,few_shot,art_003,false_positive_entity,companies,mac3 philanthropies,
gemma3,few_shot,art_003,false_positive_entity,companies,mit,
gemma3,few_shot,art_003,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_003,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_004,false_positive_entity,companies,mit,
gemma3,few_shot,art_004,false_positive_entity,companies,tata sons ltd,
gemma3,few_shot,art_004,false_positive_entity,companies,the coca-cola co,
gemma3,few_shot,art_004,false_positive_entity,models,univac,
gemma3,few_shot,art_004,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_004,missed_entity,companies,coca-cola,
gemma3,few_shot,art_005,false_positive_entity,companies,duke university,
gemma3,few_shot,art_005,false_positive_entity,companies,mit,
gemma3,few_shot,art_005,false_positive_entity,companies,mit futuretech,
gemma3,few_shot,art_005,false_positive_entity,companies,mit sloan school of management,
gemma3,few_shot,art_005,false_positive_entity,companies,openresearch,
gemma3,few_shot,art_005,false_positive_entity,companies,productivity institute,
gemma3,few_shot,art_005,false_positive_entity,companies,publicaffairs,
gemma3,few_shot,art_005,false_positive_entity,companies,university of chicago,
gemma3,few_shot,art_005,false_positive_entity,companies,university of pennsylvania,
gemma3,few_shot,art_005,false_positive_entity,companies,university of toronto,
gemma3,few_shot,art_005,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_006,false_positive_entity,companies,acm,
gemma3,few_shot,art_006,false_positive_entity,companies,mit,
gemma3,few_shot,art_006,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_006,false_positive_entity,technologies,large language model,
gemma3,few_shot,art_007,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_007,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_008,false_positive_entity,companies,mit,
gemma3,few_shot,art_008,false_positive_entity,companies,university of oxford,
gemma3,few_shot,art_008,false_positive_entity,companies,university of texas at austin,
gemma3,few_shot,art_008,false_positive_entity,technologies,contrastive learning,
gemma3,few_shot,art_008,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_009,false_positive_entity,companies,mit,
gemma3,few_shot,art_009,false_positive_entity,companies,singapore defense science and technology agency,
gemma3,few_shot,art_009,false_positive_entity,companies,toyota research institute,
gemma3,few_shot,art_009,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_009,false_positive_entity,technologies,diffusion models,
gemma3,few_shot,art_009,missed_entity,models,poco,
gemma3,few_shot,art_010,false_positive_entity,companies,abdul latif jameel clinic for machine learning in health,
gemma3,few_shot,art_010,false_positive_entity,companies,chalmers university of technology,
gemma3,few_shot,art_010,false_positive_entity,companies,defense advanced research projects agency,
gemma3,few_shot,art_010,false_positive_entity,companies,defense threat reduction agency,
gemma3,few_shot,art_010,false_positive_entity,companies,machine learning for pharmaceutical discovery and synthesis consortium,
gemma3,few_shot,art_010,false_positive_entity,companies,mit,
gemma3,few_shot,art_010,false_positive_entity,technologies,diffusion,
gemma3,few_shot,art_010,false_positive_entity,technologies,reinforcement learning,
gemma3,few_shot,art_010,missed_entity,models,rfdiffusion,
gemma3,few_shot,art_011,false_positive_entity,companies,mit,
gemma3,few_shot,art_011,false_positive_entity,models,digital twins,
gemma3,few_shot,art_011,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_011,false_positive_entity,technologies,knowledge graph,
gemma3,few_shot,art_012,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_012,missed_entity,companies,deepseek,
gemma3,few_shot,art_012,missed_entity,companies,openai,
gemma3,few_shot,art_013,false_positive_entity,companies,cornell university,
gemma3,few_shot,art_013,false_positive_entity,companies,harvard,
gemma3,few_shot,art_013,false_positive_entity,companies,microsoft,
gemma3,few_shot,art_013,false_positive_entity,companies,mit,
gemma3,few_shot,art_013,false_positive_entity,models,glasgow-blatchford score,
gemma3,few_shot,art_013,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_013,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_014,false_positive_entity,companies,john muir health,
gemma3,few_shot,art_014,false_positive_entity,companies,memorial hermann health system,
gemma3,few_shot,art_014,false_positive_entity,companies,remedy health,
gemma3,few_shot,art_014,false_positive_entity,companies,st lukes health system,
gemma3,few_shot,art_014,false_positive_entity,companies,ucsf health,
gemma3,few_shot,art_014,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_014,missed_entity,companies,openai,
gemma3,few_shot,art_014,missed_entity,technologies,ai agents,
gemma3,few_shot,art_015,false_positive_entity,companies,anthropic,
gemma3,few_shot,art_015,false_positive_entity,companies,google deepmind,
gemma3,few_shot,art_015,false_positive_entity,companies,ibm research,
gemma3,few_shot,art_015,false_positive_entity,companies,meta,
gemma3,few_shot,art_015,false_positive_entity,companies,mit,
gemma3,few_shot,art_015,false_positive_entity,companies,mit-ibm watson ai lab,
gemma3,few_shot,art_015,false_positive_entity,companies,openai,
gemma3,few_shot,art_015,false_positive_entity,models,claude,
gemma3,few_shot,art_015,false_positive_entity,models,gemini,
gemma3,few_shot,art_015,false_positive_entity,models,gpt-5,
gemma3,few_shot,art_015,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_015,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_015,false_positive_entity,technologies,multimodal ai,
gemma3,few_shot,art_015,false_positive_entity,technologies,reinforcement learning,
gemma3,few_shot,art_015,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_016,false_positive_entity,companies,app inventor foundation,
gemma3,few_shot,art_016,false_positive_entity,companies,city university of hong kong,
gemma3,few_shot,art_016,false_positive_entity,companies,education university of hong kong,
gemma3,few_shot,art_016,false_positive_entity,companies,hong kong jockey club charities trust,
gemma3,few_shot,art_016,false_positive_entity,companies,mit,
gemma3,few_shot,art_016,false_positive_entity,companies,mit schwarzman college of computing,
gemma3,few_shot,art_016,false_positive_entity,companies,university of illinois at urbana-champaign,
gemma3,few_shot,art_016,false_positive_entity,models,gemini,
gemma3,few_shot,art_016,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_017,false_positive_entity,companies,edx,
gemma3,few_shot,art_017,false_positive_entity,companies,mit,
gemma3,few_shot,art_017,false_positive_entity,models,senegroove,
gemma3,few_shot,art_017,false_positive_entity,technologies,multimodal ai,
gemma3,few_shot,art_018,false_positive_entity,companies,google ai for nature,
gemma3,few_shot,art_018,false_positive_entity,companies,mit,
gemma3,few_shot,art_018,false_positive_entity,companies,mit csail,
gemma3,few_shot,art_018,false_positive_entity,companies,mits senseable city lab,
gemma3,few_shot,art_018,false_positive_entity,companies,purdue university,
gemma3,few_shot,art_018,false_positive_entity,models,auto arborist,
gemma3,few_shot,art_018,false_positive_entity,models,nerf,
gemma3,few_shot,art_018,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_018,false_positive_entity,technologies,deep learning,
gemma3,few_shot,art_018,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_018,missed_entity,companies,scaled foundations,
gemma3,few_shot,art_018,missed_entity,models,tree-d fusion,
gemma3,few_shot,art_019,false_positive_entity,companies,mit,
gemma3,few_shot,art_019,false_positive_entity,companies,university of toronto,
gemma3,few_shot,art_019,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_019,false_positive_entity,technologies,multimodal ai,
gemma3,few_shot,art_020,false_positive_entity,companies,mit,
gemma3,few_shot,art_020,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_021,false_positive_entity,companies,bendshelters,
gemma3,few_shot,art_021,false_positive_entity,companies,cornell university,
gemma3,few_shot,art_021,false_positive_entity,companies,meta,
gemma3,few_shot,art_021,false_positive_entity,companies,mit,
gemma3,few_shot,art_021,false_positive_entity,companies,mitdesignx,
gemma3,few_shot,art_021,false_positive_entity,companies,steve jobs archive,
gemma3,few_shot,art_021,false_positive_entity,models,curator ai,
gemma3,few_shot,art_021,false_positive_entity,models,estimate,
gemma3,few_shot,art_021,false_positive_entity,models,unlog,
gemma3,few_shot,art_021,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_021,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_022,false_positive_entity,companies,association for computational linguistics,
gemma3,few_shot,art_022,false_positive_entity,companies,harvard university,
gemma3,few_shot,art_022,false_positive_entity,companies,ibm,
gemma3,few_shot,art_022,false_positive_entity,companies,mit,
gemma3,few_shot,art_022,false_positive_entity,companies,openai,
gemma3,few_shot,art_022,false_positive_entity,models,gpt-4 o1-preview,
gemma3,few_shot,art_022,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_022,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_022,missed_entity,models,openai o1-preview,
gemma3,few_shot,art_023,false_positive_entity,companies,amazon,
gemma3,few_shot,art_023,false_positive_entity,companies,caltech,
gemma3,few_shot,art_023,false_positive_entity,companies,google,
gemma3,few_shot,art_023,false_positive_entity,companies,ibm,
gemma3,few_shot,art_023,false_positive_entity,companies,mit,
gemma3,few_shot,art_023,false_positive_entity,models,neural network model,
gemma3,few_shot,art_023,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_023,false_positive_entity,technologies,meta-learning,
gemma3,few_shot,art_023,false_positive_entity,technologies,reinforcement learning,
gemma3,few_shot,art_024,false_positive_entity,companies,francis crick institute,
gemma3,few_shot,art_024,false_positive_entity,companies,futurehouse,
gemma3,few_shot,art_024,false_positive_entity,companies,lawrence berkeley national laboratory,
gemma3,few_shot,art_024,false_positive_entity,companies,mit,
gemma3,few_shot,art_024,false_positive_entity,companies,university of rochester,
gemma3,few_shot,art_024,false_positive_entity,models,chat-gpt 35,
gemma3,few_shot,art_024,false_positive_entity,models,chat-gpt 4,
gemma3,few_shot,art_024,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_024,missed_entity,companies,google,
gemma3,few_shot,art_024,missed_entity,models,chatgpt o3,
gemma3,few_shot,art_024,missed_entity,models,chatgpt-35,
gemma3,few_shot,art_024,missed_entity,models,chatgpt-4,
gemma3,few_shot,art_024,missed_entity,models,crow,
gemma3,few_shot,art_024,missed_entity,models,falcon,
gemma3,few_shot,art_024,missed_entity,models,finch,
gemma3,few_shot,art_024,missed_entity,models,has anyone,
gemma3,few_shot,art_024,missed_entity,models,owl,
gemma3,few_shot,art_024,missed_entity,models,paperqa,
gemma3,few_shot,art_024,missed_entity,models,phoenix,
gemma3,few_shot,art_025,false_positive_entity,companies,mit,
gemma3,few_shot,art_025,false_positive_entity,models,chatgpt-35,
gemma3,few_shot,art_025,false_positive_entity,models,chatgpt-4,
gemma3,few_shot,art_025,false_positive_entity,models,gpt-6,
gemma3,few_shot,art_025,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_025,missed_entity,models,gpt-4,
gemma3,few_shot,art_025,missed_entity,technologies,multimodal ai,
gemma3,few_shot,art_026,false_positive_entity,companies,mit energy initiative,
gemma3,few_shot,art_026,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_027,false_positive_entity,companies,gwangju institute of science and technology,
gemma3,few_shot,art_027,false_positive_entity,companies,meta,
gemma3,few_shot,art_027,false_positive_entity,companies,mit,
gemma3,few_shot,art_027,false_positive_entity,technologies,diffusion models,
gemma3,few_shot,art_028,false_positive_entity,companies,mit,
gemma3,few_shot,art_028,false_positive_entity,models,gemini,
gemma3,few_shot,art_028,false_positive_entity,models,gpt-4,
gemma3,few_shot,art_028,false_positive_entity,technologies,reinforcement learning,
gemma3,few_shot,art_028,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_028,missed_entity,models,sciagents,
gemma3,few_shot,art_029,false_positive_entity,companies,boston university,
gemma3,few_shot,art_029,false_positive_entity,companies,ibm,
gemma3,few_shot,art_029,false_positive_entity,companies,mit,
gemma3,few_shot,art_029,false_positive_entity,companies,university of illinois at urbana-champaign,
gemma3,few_shot,art_029,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_030,false_positive_entity,companies,csail,
gemma3,few_shot,art_030,false_positive_entity,companies,korea foundation for advanced studies,
gemma3,few_shot,art_030,false_positive_entity,companies,mit,
gemma3,few_shot,art_030,false_positive_entity,models,machine-learning model,
gemma3,few_shot,art_030,false_positive_entity,models,neural network,
gemma3,few_shot,art_030,false_positive_entity,technologies,machine learning,
gemma3,few_shot,art_031,false_positive_entity,companies,johns hopkins university,
gemma3,few_shot,art_031,false_positive_entity,companies,mit,
gemma3,few_shot,art_031,false_positive_entity,companies,technion,
gemma3,few_shot,art_031,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_031,false_positive_entity,technologies,multimodal ai,
gemma3,few_shot,art_032,false_positive_entity,companies,mit,
gemma3,few_shot,art_032,false_positive_entity,companies,mit-ibm watson ai lab,
gemma3,few_shot,art_032,false_positive_entity,companies,tsinghua university,
gemma3,few_shot,art_032,false_positive_entity,companies,us national science foundation,
gemma3,few_shot,art_032,false_positive_entity,technologies,autoregressive models,
gemma3,few_shot,art_032,false_positive_entity,technologies,diffusion model,
gemma3,few_shot,art_033,false_positive_entity,companies,mit,
gemma3,few_shot,art_033,false_positive_entity,companies,national institutes of health,
gemma3,few_shot,art_033,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_033,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_033,false_positive_entity,technologies,sparse autoencoder,
gemma3,few_shot,art_034,false_positive_entity,companies,mit energy initiative,
gemma3,few_shot,art_034,false_positive_entity,companies,tata power co ltd,
gemma3,few_shot,art_034,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_034,missed_entity,companies,tata group,
gemma3,few_shot,art_035,false_positive_entity,companies,association for health inference and learning,
gemma3,few_shot,art_035,false_positive_entity,companies,caltech,
gemma3,few_shot,art_035,false_positive_entity,companies,facebook,
gemma3,few_shot,art_035,false_positive_entity,companies,forbes,
gemma3,few_shot,art_035,false_positive_entity,companies,fortune,
gemma3,few_shot,art_035,false_positive_entity,companies,google,
gemma3,few_shot,art_035,false_positive_entity,companies,mila-quebec ai institute,
gemma3,few_shot,art_035,false_positive_entity,companies,mit news,
gemma3,few_shot,art_035,false_positive_entity,companies,mit technology review,
gemma3,few_shot,art_035,false_positive_entity,companies,national bureau of economic research,
gemma3,few_shot,art_035,false_positive_entity,companies,nsf,
gemma3,few_shot,art_035,false_positive_entity,companies,schmidt sciences,
gemma3,few_shot,art_035,false_positive_entity,companies,seattle university,
gemma3,few_shot,art_035,false_positive_entity,companies,the huffington post,
gemma3,few_shot,art_035,false_positive_entity,companies,university of toronto,
gemma3,few_shot,art_035,false_positive_entity,models,language models,
gemma3,few_shot,art_035,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_035,false_positive_entity,technologies,multimodal ai,
gemma3,few_shot,art_035,missed_entity,companies,meta,
gemma3,few_shot,art_036,false_positive_entity,companies,meta,
gemma3,few_shot,art_036,false_positive_entity,companies,mit,
gemma3,few_shot,art_036,false_positive_entity,companies,oxford university,
gemma3,few_shot,art_036,false_positive_entity,models,claude,
gemma3,few_shot,art_036,false_positive_entity,models,gemini,
gemma3,few_shot,art_036,false_positive_entity,models,gpt-5,
gemma3,few_shot,art_036,false_positive_entity,models,large language model,
gemma3,few_shot,art_036,false_positive_entity,models,vision-language models,
gemma3,few_shot,art_036,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_036,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_037,false_positive_entity,companies,mit,
gemma3,few_shot,art_037,false_positive_entity,companies,the ai institute,
gemma3,few_shot,art_037,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_037,missed_entity,models,code as policies,
gemma3,few_shot,art_038,false_positive_entity,companies,emeritus,
gemma3,few_shot,art_038,false_positive_entity,companies,google inc,
gemma3,few_shot,art_038,false_positive_entity,companies,googleorg,
gemma3,few_shot,art_038,false_positive_entity,companies,mass general brigham,
gemma3,few_shot,art_038,false_positive_entity,companies,mit,
gemma3,few_shot,art_038,false_positive_entity,companies,xerox corp,
gemma3,few_shot,art_038,false_positive_entity,models,generation ai,
gemma3,few_shot,art_038,missed_entity,companies,xerox,
gemma3,few_shot,art_039,false_positive_entity,companies,facebook,
gemma3,few_shot,art_039,false_positive_entity,companies,mit deshpande center for technological innovation,
gemma3,few_shot,art_039,false_positive_entity,companies,project tapestry google x,
gemma3,few_shot,art_039,false_positive_entity,technologies,contrastive deep learning,
gemma3,few_shot,art_039,false_positive_entity,technologies,geometric deep learning,
gemma3,few_shot,art_039,false_positive_entity,technologies,graph neural networks,
gemma3,few_shot,art_039,false_positive_entity,technologies,machine learning,
gemma3,few_shot,art_039,missed_entity,companies,meta,
gemma3,few_shot,art_040,false_positive_entity,companies,boeing,
gemma3,few_shot,art_040,false_positive_entity,companies,mit,
gemma3,few_shot,art_040,false_positive_entity,companies,toshiba,
gemma3,few_shot,art_040,false_positive_entity,companies,united network for organ sharing,
gemma3,few_shot,art_040,false_positive_entity,models,deliberationio,
gemma3,few_shot,art_040,false_positive_entity,models,gemini,
gemma3,few_shot,art_040,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_041,false_positive_entity,companies,harvard medical school,
gemma3,few_shot,art_041,false_positive_entity,companies,massachusetts general hospital,
gemma3,few_shot,art_041,false_positive_entity,companies,massachusetts life sciences center,
gemma3,few_shot,art_041,false_positive_entity,companies,mit,
gemma3,few_shot,art_041,false_positive_entity,companies,national institutes of health,
gemma3,few_shot,art_041,false_positive_entity,companies,quanta computer inc,
gemma3,few_shot,art_041,false_positive_entity,companies,the broad institute,
gemma3,few_shot,art_041,false_positive_entity,companies,wistron corp,
gemma3,few_shot,art_041,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_041,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_041,missed_entity,companies,quanta computer,
gemma3,few_shot,art_041,missed_entity,companies,wistron,
gemma3,few_shot,art_042,false_positive_entity,companies,mit lincoln laboratory,
gemma3,few_shot,art_042,false_positive_entity,companies,national institutes of health,
gemma3,few_shot,art_042,false_positive_entity,models,neurotrale,
gemma3,few_shot,art_042,false_positive_entity,technologies,active learning,
gemma3,few_shot,art_042,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_043,false_positive_entity,companies,hyundai motor co,
gemma3,few_shot,art_043,false_positive_entity,companies,meta,
gemma3,few_shot,art_043,false_positive_entity,companies,mit,
gemma3,few_shot,art_043,false_positive_entity,companies,stanford university,
gemma3,few_shot,art_043,missed_entity,companies,hyundai,
gemma3,few_shot,art_043,missed_entity,models,sketchagent,
gemma3,few_shot,art_044,false_positive_entity,companies,mit,
gemma3,few_shot,art_044,false_positive_entity,technologies,deep learning,
gemma3,few_shot,art_044,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_045,false_positive_entity,companies,mit,
gemma3,few_shot,art_045,false_positive_entity,companies,university of michigan,
gemma3,few_shot,art_045,false_positive_entity,companies,us army research office,
gemma3,few_shot,art_045,false_positive_entity,companies,us department of agriculture,
gemma3,few_shot,art_045,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_046,false_positive_entity,companies,meta,
gemma3,few_shot,art_046,false_positive_entity,companies,mit,
gemma3,few_shot,art_046,false_positive_entity,companies,mit-ibm watson ai lab,
gemma3,few_shot,art_046,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_046,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_047,false_positive_entity,companies,maison meta,
gemma3,few_shot,art_047,false_positive_entity,companies,mit professional education,
gemma3,few_shot,art_047,false_positive_entity,companies,walmart,
gemma3,few_shot,art_047,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_048,false_positive_entity,companies,azrieli foundation,
gemma3,few_shot,art_048,false_positive_entity,companies,harvard university,
gemma3,few_shot,art_048,false_positive_entity,companies,israeli institute of technology,
gemma3,few_shot,art_048,false_positive_entity,companies,israeli science foundation,
gemma3,few_shot,art_048,false_positive_entity,companies,mit,
gemma3,few_shot,art_048,false_positive_entity,companies,northeastern university,
gemma3,few_shot,art_048,false_positive_entity,companies,open philanthropy,
gemma3,few_shot,art_048,false_positive_entity,companies,tel aviv university,
gemma3,few_shot,art_048,false_positive_entity,models,gemini,
gemma3,few_shot,art_048,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_048,false_positive_entity,technologies,neural networks,
gemma3,few_shot,art_048,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_049,false_positive_entity,companies,dream theater,
gemma3,few_shot,art_049,false_positive_entity,companies,meta,
gemma3,few_shot,art_049,false_positive_entity,companies,music radar,
gemma3,few_shot,art_049,false_positive_entity,models,gemini,
gemma3,few_shot,art_049,false_positive_entity,technologies,reinforcement learning,
gemma3,few_shot,art_049,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_049,missed_entity,models,chatgpt,
gemma3,few_shot,art_050,false_positive_entity,companies,carnegie mellon university,
gemma3,few_shot,art_050,false_positive_entity,companies,lincoln laboratory,
gemma3,few_shot,art_050,false_positive_entity,companies,mit energy initiative,
gemma3,few_shot,art_050,false_positive_entity,companies,sesame sustainability,
gemma3,few_shot,art_050,false_positive_entity,companies,world economic forum,
gemma3,few_shot,art_050,false_positive_entity,technologies,ai agents,
gemma3,few_shot,art_050,false_positive_entity,technologies,neural networks,
gemma3,few_shot,art_051,false_positive_entity,companies,the nature conservancy,
gemma3,few_shot,art_051,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_052,false_positive_entity,companies,mit,
gemma3,few_shot,art_052,false_positive_entity,companies,mit-ibm watson ai lab,
gemma3,few_shot,art_052,false_positive_entity,models,gemini,
gemma3,few_shot,art_052,false_positive_entity,models,large language models,
gemma3,few_shot,art_052,false_positive_entity,technologies,contrastive learning,
gemma3,few_shot,art_052,false_positive_entity,technologies,graph neural network,
gemma3,few_shot,art_052,false_positive_entity,technologies,retrieval-augmented generation,
gemma3,few_shot,art_053,false_positive_entity,companies,adobe research,
gemma3,few_shot,art_053,false_positive_entity,companies,carnegie mellon university,
gemma3,few_shot,art_053,false_positive_entity,companies,mit,
gemma3,few_shot,art_053,false_positive_entity,technologies,autoregressive,
gemma3,few_shot,art_053,false_positive_entity,technologies,diffusion models,
gemma3,few_shot,art_053,missed_entity,companies,adobe,
gemma3,few_shot,art_054,false_positive_entity,companies,mit,
gemma3,few_shot,art_054,false_positive_entity,companies,ntt research inc,
gemma3,few_shot,art_054,false_positive_entity,companies,sorbonne university,
gemma3,few_shot,art_054,false_positive_entity,models,gemini,
gemma3,few_shot,art_054,false_positive_entity,technologies,deep learning,
gemma3,few_shot,art_054,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_054,false_positive_entity,technologies,neural network,
gemma3,few_shot,art_054,missed_entity,companies,ntt research,
gemma3,few_shot,art_055,false_positive_entity,companies,cornell university,
gemma3,few_shot,art_055,false_positive_entity,companies,eth zurich,
gemma3,few_shot,art_055,false_positive_entity,companies,mit,
gemma3,few_shot,art_055,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_055,false_positive_entity,technologies,reinforcement learning,
gemma3,few_shot,art_056,false_positive_entity,companies,georgia tech,
gemma3,few_shot,art_056,false_positive_entity,companies,ibm research,
gemma3,few_shot,art_056,false_positive_entity,companies,julia lab,
gemma3,few_shot,art_056,false_positive_entity,companies,mit,
gemma3,few_shot,art_056,false_positive_entity,companies,mit-ibm watson ai lab,
gemma3,few_shot,art_056,false_positive_entity,companies,us army research office,
gemma3,few_shot,art_056,false_positive_entity,models,peds,
gemma3,few_shot,art_056,false_positive_entity,technologies,automatic differentiation,
gemma3,few_shot,art_056,false_positive_entity,technologies,generative ai,
gemma3,few_shot,art_057,false_positive_entity,companies,ibm,
gemma3,few_shot,art_057,false_positive_entity,companies,mit,
gemma3,few_shot,art_057,false_positive_entity,companies,oxford university,
gemma3,few_shot,art_057,false_positive_entity,companies,wistron corporation,
gemma3,few_shot,art_057,false_positive_entity,technologies,diffusion models,
gemma3,few_shot,art_057,false_positive_entity,technologies,retrieval-augmented generation,
